##########
          Organization
          CompArch Organizing Committee
GeneralCh Lionel Seinturier, University Lille 1, France (General chair)
OrganCo   Laurence Duchien, University Lille 1, France
PubRelCh  Romain Rouvoy, University Lille 1, France (Publicity chair)
OrganCo   Martin Monperrus, University Lille 1, France
          CBSE Program Co-Chairs
ProgramCh Eduardo Santana de Almeida, Federal University of Bahia, Brazil
ProgramCh Jan Carlson, Mälardalen University, Sweden
          
          CBSE Program Committee
ProgramCo Franck Barbier, University of Pau (France)
ProgramCo Steffen Becker, University of Paderborn (Germany)
ProgramCo Domenico Bianculli, University of Luxembourg (Luxembourg)
ProgramCo Etienne Borde, Telecom ParisTech (France)
ProgramCo Premek Brada, University of West Bohemia (Czech Republic)
ProgramCo Radu Calinescu, University of York (UK)
ProgramCo Carlos Canal, University of Málaga (Spain)
ProgramCo Alessandro Garcia, PUC-Rio (Brazil)
ProgramCo Gregor Goessler, INRIA (France)
ProgramCo Ian Gorton, CMU Software Engineering Institute (USA)
ProgramCo Lars Grunske, University of Stuttgart (Germany)
ProgramCo George Heineman, Worcester Polytechnic Institute (USA)
ProgramCo Petr Hnetynka, Charles University in Prague (Czech Republic)
ProgramCo Gang Huang, Peking University (China)
ProgramCo Oliver Hummel, Karlsruhe Institute of Technology (Germany)
ProgramCo Valerie Issarny, INRIA (France)
ProgramCo Fabrice Kordon, LIP6/UPMC (France)
ProgramCo Anne Koziolek, Karlsruhe Institute of Technology (Germany)
ProgramCo Magnus Larsson, ABB (India)
ProgramCo Kung-Kiu Lau, University of Manchester (UK)
ProgramCo Grace A. Lewis, CMU Software Engineering Institute (USA)
ProgramCo Frédéric Loiret, Institute für Informatik (Germany)
ProgramCo Patricia López Martínez, University of Cantabria (Spain)
ProgramCo Raffaela Mirandola, Politecnico di Milano (Italy)
ProgramCo Henry Muccini, University of L'Aquila (Italy)
ProgramCo Rob van Ommering, Philips Research (Netherlands)
ProgramCo Noel Plouzeau, IRISA/University of Rennes 1 (France)
ProgramCo Sanjai Rayadurgam, University of Minnesota (USA)
ProgramCo Ralf Reussner, Karlsruhe Institute of Technology (Germany)
ProgramCo Salah Sadou, IRISA/University of South Brittany (France)
ProgramCo Séverine Sentilles, Malardalen University (Sweden)
ProgramCo Judith Stafford, University of Colorado (USA)
ProgramCo Clemens Szyperski, Microsoft Research (USA)
ProgramCo Massimo Tivoli, University of L'Aquila (Italy)
ProgramCo Michael Wahler, ABB Corporate Research (Switzerland)
ProgramCo Claudia Maria Lima Werner, Federal University of Rio de Janeiro (Brazil)
          CBSE Steering Committee
SteerCo   Ivica Crnkovic, Malardalen University (Sweden)
SteerCo   Ian Gorton, Software Engineering Institute (USA)
SteerCo   George Heineman, Worcester Polytechnic Institute (USA)
SteerCo   Grace A. Lewis, CMU Software Engineering Institute (USA)
SteerCo   Raffaela Mirandola, Politecnico di Milano (Italy)
SteerCo   Ralf Reussner, Karlsruhe Institute of Technology (Germany)
SteerCo   Heinz Schmidt, RMIT University (Australia)
SteerCo   Judith Stafford, University of Colorado (USA)
SteerCo   Clemens Szyperski, Microsoft Research (USA)
