##########
          http://www.model-transformation.org/ICMT2008/
          Conference Chair
GeneralCh Alfonso Pierantonio, U L’Aquila (I)
          Program Chairs
ProgramCh Antonio Vallecillo, U Málaga (ES)
ProgramCh Jeff Gray, U Alabama at Birmingham (USA)
          Publicity Chair
PubRelCh  Frédéric Jouault, INRIA/U Alabama at Birmingham (F/USA)
          
          Program Committee
          
ProgramCo Ana Moreira, Universidade Nova de Lisboa (Portugal)
ProgramCo Andreas Winter, J. Gutenberg-University of Mainz (Germany)
ProgramCo Andy Schürr, Technische Universität Darmstadt (Germany)
ProgramCo Antonio Estevez, Open Canarias (Spain)
ProgramCo Arne Berre, Sintef (Norway)
ProgramCo Bernhard Rumpe, Technische Universität Braunschweig (Germany)
ProgramCo Bran Selic, IBM (Canada)
ProgramCo Charles Consel, Bordeaux (France)
ProgramCo Catherine Griffin, IBM (United Kingdom)
ProgramCo Daniel Varro, University of Budapest (Hungary)
ProgramCo Dave Akehurst, University of Kent (United Kingdom)
ProgramCo Davide Di Ruscio, University of L'Aquila (Italy)
ProgramCo Ed Willink, Thales (United Kingdom)
ProgramCo Elie Najm, ENST (France)
ProgramCo Esperanza Marcos, Universidad Rey Juan Carlos (Spain)
ProgramCo Frédéric Jouault, INRIA/University of Alabama at Birmingham (France/USA)
ProgramCo Gabor Karsai, Vanderbilt University (USA)
ProgramCo Gabriele Taentzer, Philipps-University of Marburg (Germany)
ProgramCo Gregor Engels, University of Paderborn (Germany)
ProgramCo Gianna Reggio, University of Genoa (Italy)
ProgramCo Günter Kniesel, University of Bonn (Germany)
ProgramCo Hans Vangheluwe, McGill University (Canada)
ProgramCo Howard Ho, IBM Almaden Research (USA)
ProgramCo Ivan Kurtev, University of Twente (The Neatherlands)
ProgramCo Ivan Porres, Åbo Akademi (Finland)
ProgramCo Jean-Marie Favre, University of Grenoble (France)
ProgramCo Jens Weber, University of Victoria (Canada)
ProgramCo Jesús G. Molina, University of Murcia (Spain)
ProgramCo Jon Whittle, Lancaster University (United Kingdom)
ProgramCo Jordi Cabot, Open Univ. of Catalonia (Spain)
ProgramCo Kerry Raymond, Queensland Univ. of Tech. (Australia)
ProgramCo Krzysztof Czarnecki, University of Waterloo (Canada)
ProgramCo Laurence Tratt, Bournemouth University (United Kingdom)
ProgramCo Luciano Baresi, Politecnico di Milano (Italy)
ProgramCo Marc Pantel, University of Toulouse (France)
ProgramCo Maarten Steen, Telematica Instituut (The Neatherlands)
ProgramCo Martin Gogolla, University of Bremen (Germany)
ProgramCo Michael Lawley, Queensland Univ. of Tech. (Australia)
ProgramCo Nicolas Rouquette, NASA/JPL (USA)
ProgramCo Nora Koch, Ludwig-Maximiliam Universität München and FAST (Germany)
ProgramCo Piero Fraternali, Politecnico di Milano (Italy)
ProgramCo Reiko Heckel, University of Leicester (United Kingdom)
ProgramCo Richard Paige, University of York (United Kingdom)
ProgramCo Robert France, Colorado State University (USA)
ProgramCo Simon Helsen, SAP (Germany)
ProgramCo Steve Cook, Microsoft (United Kingdom)
ProgramCo Tom Mens, University of Mons-Hainaut (Belgium)
ProgramCo Tony Clark, Xactium (United Kingdom)
ProgramCo Vicente Pelechano, Universidad Politécnica de Valencia (Spain)
ProgramCo Vinay Kulkarni, Tata R&D and Design Centre (India)
ProgramCo Yasemin Topaloglu, Ege University (Turkey)
          Steering Committee
SteerCo   Alfonso Pierantonio, University of L’Aquila (Italy)
SteerCo   Antonio Vallecillo, University of Málaga (Spain)
SteerCo   Jean Bézivin, University of Nantes/INRIA (F)
SteerCo   Jeff Gray, University of Alabama at Birmingham (USA)
