##########
          http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=6585&copyownerid=3264
          ==Program Committee==
          
ProgramCh Claus Brabrand, IT University of Copenhagen, Denmark (co-chair)
ProgramCh Pierre-Etienne Moreau, Nancy-Université & LORIA, France (co-chair)
          
ProgramCo Emilie Balland, INRIA, France
ProgramCo John Boyland, University of Wisconsin, USA
ProgramCo Giorgios Robert Economopoulos, University of Southampton, UK
ProgramCo Magne Haveraaen, University of Bergen, Norway
ProgramCo Nigel Horspool, University of Victoria, Canada
ProgramCo Shan Shan Huang, Logic Blox, USA
ProgramCo Johan Jeuring, Utrecht University, The Netherlands
ProgramCo Ondrej Lhotak, University of Waterloo, Canada
ProgramCo Shane Markstrum, University of California, USA
ProgramCo Peter D. Mosses, Swansea University, UK
ProgramCo Klaus Ostermann, Philipps-Universität Marburg, Germany
ProgramCo Marc Pantel, University of Toulouse, France
ProgramCo Elizabeth Scott, Royal Holloway, University of London, UK
ProgramCo Eli Tilevich, Virginia Tech, USA
ProgramCo Eelco Visser, Delft University of Technology, The Netherlands
ProgramCo Joost Visser, Software Improvement Group, The Netherlands
ProgramCo Tobias Wrigstad, Purdue, USA
