#DONE
     
     http://models2014.webs.upv.es/
     Organization Committee
     General Chairs
GeCh Isidro Ramos
GeCh Silvia Abrahão
     
     Local Organizing Chair
LoCh Emilio Insfrán
     Program Chairs
PrCh Juergen Dingel
PrCh Wolfram Schulte
     Steering Committee Chair
StCh Gregor Engels
     Tutorial Chairs
TuCh Juan de Lara
TuCh Michel Chaudron
     Workshop Chairs
WoCh Gabriele Taenzer
WoCh Alfonso Pierantonio
     Panel Chair
PaCh Timothy C. Lethbridge
     Demonstrations Chairs
TTCh Tao Yue
TTCh Benoit Combemale
     Poster Chairs
PoCh Manuel Wimmer
PoCh Stefan Sauer
     Social Media Chairs
SMCh Jordi Cabot
SMCh Dimitris Kolovos
     Student Research Competition Chair
SRCh Marcela Genero
     Publicity Chairs
PbCh Alessandro Garcia
PbCh Nelly Bencomo
     Doctoral Symposium Chair
DSCh Benoit Baudry
     Financial Chairs
FiCh José Ángel Carsí
FiCh Patricio Letelier
     Local Facilities Chairs
LoCh Javier González-Huerta
     Web Chair
WeCh Priscila Cedillo
     Student Volunteers Chairs
SVCh M. Carmen Penadés
SVCh Miguel Angel Zúñiga
     
     Program Board
PBCo Jean Michel Bruel, University of Toulouse, France
PBCo Juergen Dingel, Queen's University, Canada
PBCo Gregor Engels, University of Paderborn, Germany
PBCo Martin Gogolla, University of Bremen, Germany
PBCo Oystein Haugen, SINTEF, Norway
PBCo Heinrich Hussmann, Ludwig Maximilian University Munich, Germany
PBCo Jean-Marc Jezequel, IRISA, France
PBCo Gerti Kappel, Vienna University of Technology, Austria
PBCo Ana Moreira, Universidade Nova de Lisboa, Portugal
PBCo Richard Paige, University of York, United Kingdom
PBCo Andy Schuerr, Technische Universitaet Darmstadt, Germany
PBCo Wolfram Schulte, Microsoft Research, USA
PBCo Perdita Stevens, University of Edinburgh, United Kingdom
     
     Program Committee (Foundations Track)
PrCo Daniel Amyot, University of Ottawa, Canada
PrCo João Araújo, University of Lisbon, Portugal
PrCo Mira Balaban, Ben-Gurion University, Israel
PrCo Benoit Baudry, INRIA, France
PrCo Nelly Bencomo, Aston University, United Kingdom
PrCo Xavier Blanc, LABRI, France
PrCo Ruth Breu, University of Innsbruck, Austria
PrCo Jordi Cabot, Ecole des Mines de Nantes / INRIA, France
PrCo Michel Chaudron, Dept of CS of Chalmers and Gothenburg University, n
PrCo Marsha Chechik, University of Toronto, Canada
PrCo Siobhan Clarke, Trinity College Dublin, Ireland
PrCo Juan de Lara, Universidad Autonoma de Madrid, Spain
PrCo Zinovy Diskin, McMaster University and University of Waterloo, Canada
PrCo Alexander Egyed, Johannes Kepler University, Austria
PrCo Rik Eshuis, Eindhoven University of Technology,The Netherlands
PrCo Lidia Fuentes, Universidad de Malaga, Spain
PrCo Alessandro Garcia, PUC-Rio, Brazil
PrCo Sebastien Gerard, CEA List, France
PrCo Holger Giese, Hasso Plattner Institute at the University of Potsdam,ny
PrCo Jeff Gray, University of Alabama, USA
PrCo John Grundy, Swinburne University of Technology, Australia
PrCo Reiko Heckel, University of Leicester, United Kingdom
PrCo Constance Heitmeyer, Naval Research Laboratory, USA
PrCo Peter Herrmann, Norwegian University of Science and Technology , y
PrCo James Hill, Indiana University-Purdue University Indianapolis, USA
PrCo Zhenjiang Hu,  National Institute of Informatics, Japan
