##########
          http://2012.msrconf.org/organization.php
          General Chair
GeneralCh Michele Lanza	Michele Lanza
          University of Lugano
          Program Co-Chairs
ProgramCh Massimiliano Di Penta	Massimiliano Di Penta
          University of Sannio
ProgramCh Tao Xie	Tao Xie
          Challenge Chair
ChalngCh  Emad Shihab	Emad Shihab
          Web Chair
WebCh     Alberto Bacchelli	Alberto Bacchelli
          University of Lugano
          Steering Committee
SteerCo   Ahmed E. Hassan
SteerCo   Audris Mockus
SteerCo   Ric Holt
SteerCo   Katsuro Inoue
SteerCo   Stephan Diehl
SteerCo   Massimiliano Di Penta
SteerCo   Harald Gall
SteerCo   Michele Lanza
SteerCo   Michael W. Godfrey
SteerCo   Jim Whitehead
SteerCo   Tao Xie
SteerCo   Thomas Zimmermann
          
          Program Committee Members
ProgramCo Mithun Acharya	ABB Research, USA
ProgramCo Bram Adams	École Polytechnique de Montréal, Canada
ProgramCo Christian Bird	Microsoft Research, USA
ProgramCo Gerardo Canfora	University of Sannio, Italy
ProgramCo Marco D’Ambros	University of Lugano, Switzerland
ProgramCo Daniela Damian	University of Victoria, Canada
ProgramCo Prem Devanbu	University of California, Davis, USA
ProgramCo Stephan Diehl	University Trier, Germany
ProgramCo Harald Gall	University of Zurich, Switzerland
ProgramCo Daniel German	University of Victoria, Canada
ProgramCo Mike W. Godfrey	University of Waterloo, Canada
ProgramCo J. González-Barahona	Universidad Rey Juan Carlos, Spain
ProgramCo Ahmed E. Hassan	Queen’s University, Canada
ProgramCo Israel Herraiz	Universidad Politécnica de Madrid, Spain
ProgramCo Emily Hill	Montclair State University, USA
ProgramCo Abram Hindle	University of Alberta, Canada
ProgramCo Reid Holmes	University of Waterloo, Canada
ProgramCo Katsuro Inoue	University of Osaka, Japan
ProgramCo Huzefa Kagdi	Wichita State University, USA
ProgramCo Miryung Kim	University of Texas at Austin, USA
ProgramCo Sunghun Kim	Hong Kong University of Science and Technology, China
ProgramCo David Lo	Singapore Management University, Singapore
ProgramCo Andrian Marcus	Wayne State University, USA
ProgramCo Tim Menzies	West Virginia University, USA
ProgramCo Audris Mockus	Avaya Labs Research, USA
ProgramCo Thomas Ostrand	AT&T Labs Research, USA
ProgramCo Martin Pinzger	Delft Technical University, Netherlands
ProgramCo Romain Robbes	University of Chile, Chile
ProgramCo Martin Robillard	McGill University, Canada
ProgramCo Peter Rotella	Cisco Systems, USA
ProgramCo Chanchal K. Roy	University of Saskatchewan, Canada
ProgramCo Lin Tan	University of Waterloo, Canada
ProgramCo Suresh Thummalapenta	IBM Research, India
ProgramCo Jim Whitehead	University of California, Santa Cruz, USA
ProgramCo Andy Zaidman	Delft Technical University, Netherlands
ProgramCo Andreas Zeller	Saarland University, Germany
ProgramCo Dongmei Zhang	Microsoft Research, China
ProgramCo Thomas Zimmermann	Microsoft Research, USA
