##########
          http://2013.msrconf.org/organization.php
          General Chair
GeneralCh Thomas Zimmermann	Thomas Zimmermann
          Program Co-Chairs
ProgramCh Massimiliano Di Penta	Massimiliano Di Penta
          University of Sannio
ProgramCh Sung Kim	Sung Kim
          Chief of Data
DataCh    Daniel M. German	Daniel M. German
          University of Victoria
          Challenge Chair
ChalngCh  Alberto Bacchelli	Alberto Bacchelli
          University of Lugano
          Web Chair
WebCh     Julius Davies	Julius Davies
          University of British Columbia
          Steering Committee
SteerCo   Ahmed E. Hassan
SteerCo   Audris Mockus
SteerCo   Ric Holt
SteerCo   Katsuro Inoue
SteerCo   Sung Kim
SteerCo   Stephan Diehl
SteerCo   Massimiliano Di Penta
SteerCo   Harald Gall
SteerCo   Michele Lanza
SteerCo   Michael W. Godfrey
SteerCo   Jim Whitehead
SteerCo   Tao Xie
SteerCo   Thomas Zimmermann
          
          Program Committee Members
ProgramCo Mithun Acharya	ABB Research, USA
ProgramCo Bram Adams	École Polytechnique de Montréal, Canada
ProgramCo Giuliano Antoniol	École Polytechnique de Montréal, Canada
ProgramCo Christian Bird	Microsoft Research, USA
ProgramCo Raymond Buse	Google Inc., USA
ProgramCo Gerardo Canfora	University of Sannio, Italy
ProgramCo Andy Chou	Coverity Inc., USA
ProgramCo Prem Devanbu	University of California, Davis, USA
ProgramCo Stephan Diehl	University Trier, Germany
ProgramCo Vladimir Filkov	University of California, Davis, USA
ProgramCo Thomas Fritz	University of Zurich, Switzerland
ProgramCo Harald Gall	University of Zurich, Switzerland
ProgramCo Daniel German	University of Victoria, Canada
ProgramCo Yossi Gill	Technion, Israel
ProgramCo Mike W. Godfrey	University of Waterloo, Canada
ProgramCo Mark Harman	University College London, UK
ProgramCo Ahmed E. Hassan	Queen’s University, Canada
ProgramCo Israel Herraiz	Universidad Politécnica de Madrid, Spain
ProgramCo Emily Hill	Montclair State University, USA
ProgramCo Abram Hindle	University of Alberta, Canada
ProgramCo Reid Holmes	University of Waterloo, Canada
ProgramCo Katsuro Inoue	University of Osaka, Japan
ProgramCo Foutse Khomh	Queen’s University, Canada
ProgramCo Michele Lanza	University of Lugano, Switzerland
ProgramCo David Lo	Singapore Management University, Singapore
ProgramCo Audris Mockus	Avaya Labs Research, USA
ProgramCo David Morgenthaler	Google Inc., USA
ProgramCo Thomas Ostrand	Rutgers University, USA
ProgramCo John Penix	Google Inc., USA
ProgramCo Martin Pinzger	Delft Technical University, Netherlands
ProgramCo Denys Poshyvanyk	The College of William and Mary, USA
ProgramCo Romain Robbes	University of Chile, Chile
ProgramCo Peter Rotella	Cisco Systems, USA
ProgramCo Chanchal K. Roy	University of Saskatchewan, Canada
ProgramCo Emad Shihab	Rochester Institute of Technology, USA
ProgramCo Lin Tan	University of Waterloo, Canada
ProgramCo Suresh Thummalapenta	IBM Research, India
ProgramCo Jim Whitehead	University of California, Santa Cruz, USA
ProgramCo Laurie Williams	North Carolina State University, USA
ProgramCo Tao Xie	North Carolina State University, USA
ProgramCo Andreas Zeller	Saarland University, Germany
ProgramCo Dongmei Zhang	Microsoft Research, China
ProgramCo Hongyu Zhang	Tsinghua University, China
